accuracy_after_crop,average_abs_score_difference,average_processing_time_ms,became_uncertain,crop_failure_count,evaluated_image_count,failed_detection_count,failure_rate,fake_recall_after_crop,fake_to_real_flip_rate,fake_to_real_flips,max_abs_score_difference,median_abs_score_difference,p90_abs_score_difference,preserved_original_count,rank,real_recall_after_crop,real_to_fake_flips,sample_count,strategy_family,strategy_name,total_class_change_rate,total_class_changes,uncertain_results
0.94,0.0,27.159,0,0,50,0,0.0,0.96,0.0,0,0.0,0.0,0.0,0,1,0.92,0,50,context_square,context_full_head_l40_r40_t70_b35_square,0.0,0,0
0.94,0.0,27.323,0,0,50,0,0.0,0.96,0.0,0,0.0,0.0,0.0,49,2,0.92,0,50,prepared_face_conditional,preserve_or_context_full_head_l40_r40_t70_b35_square,0.0,0,0
0.94,0.0,27.482,0,0,50,0,0.0,0.96,0.0,0,0.0,0.0,0.0,0,3,0.92,0,50,square_margin,square_m40,0.0,0,0
0.94,0.0,27.516,0,0,50,0,0.0,0.96,0.0,0,0.0,0.0,0.0,0,4,0.92,0,50,square_margin,square_m50,0.0,0,0
0.94,0.0,27.541,0,0,50,0,0.0,0.96,0.0,0,0.0,0.0,0.0,0,5,0.92,0,50,square_margin,square_m65,0.0,0,0
0.94,0.0,27.887,0,0,50,0,0.0,0.96,0.0,0,0.0,0.0,0.0,0,6,0.92,0,50,square_margin,square_m80,0.0,0,0
0.94,0.0,28.208,0,0,50,0,0.0,0.96,0.0,0,0.0,0.0,0.0,50,7,0.92,0,50,original,original_reference,0.0,0,0
0.94,0.0,28.096,0,0,50,0,0.0,0.96,0.0,0,0.0,0.0,0.0,0,8,0.92,0,50,context_padded,padded_context_edge,0.0,0,0
0.94,0.0,27.455,0,0,50,0,0.0,0.96,0.0,0,0.0,0.0,0.0,0,9,0.92,0,50,context_padded,padded_context_reflect,0.0,0,0
0.94,0.0,27.339,0,0,50,0,0.0,0.96,0.0,0,0.0,0.0,0.0,0,10,0.92,0,50,context_stretch,context_l40_r40_t70_b35_stretch,0.0,0,0
0.94,0.0,27.593,0,0,50,0,0.0,0.96,0.0,0,0.0,0.0,0.0,0,11,0.92,0,50,context_padded,padded_context_black,0.0,0,0
0.94,0.013678,27.334,0,0,50,0,0.0,0.96,0.0,0,0.203721,0.0,0.032898,0,12,0.92,0,50,square_margin,square_m30,0.0,0,0
0.7,0.328043,28.435,0,0,50,0,0.0,0.4,0.56,14,0.999935,0.057793,0.996817,0,13,1.0,0,50,square_margin,square_m20_current,0.32,16,0
